iter	Passed	Remaining
0	2	212
1	4	209
2	5	193
3	7	183
4	9	176
5	11	174
6	13	175
7	15	174
8	17	174
9	19	172
10	21	170
11	22	167
12	24	164
13	26	163
14	28	160
15	30	158
16	32	158
17	34	155
18	36	154
19	38	152
20	39	149
21	41	148
22	43	146
23	45	145
24	48	144
25	50	143
26	52	142
27	54	141
28	57	139
29	58	137
30	61	136
31	63	133
32	64	131
33	66	128
34	68	126
35	69	123
36	71	121
37	73	119
38	74	117
39	76	114
40	78	113
41	80	111
42	81	108
43	82	105
44	84	102
45	86	101
46	87	98
47	89	97
48	91	95
49	93	93
50	95	91
51	96	89
52	98	87
53	98	84
54	100	82
55	101	79
56	102	77
57	104	75
58	105	73
59	107	71
60	108	69
61	109	67
62	111	65
63	112	63
64	113	61
65	114	58
66	115	56
67	116	54
68	117	53
69	119	51
70	120	49
71	121	47
72	123	45
73	124	43
74	124	41
75	125	39
76	127	37
77	128	36
78	129	34
79	130	32
80	132	31
81	133	29
82	134	27
83	136	26
84	137	24
85	138	22
86	139	20
87	141	19
88	142	17
89	143	15
90	144	14
91	145	12
92	147	11
93	148	9
94	149	7
95	150	6
96	151	4
97	153	3
98	154	1
99	155	0
